,식품명,energy,protein,calcium,phosphorus,iron,niacin,folate,vitaC,thiamin,riboflavin
6881,유부 우엉 잡채,40.71,1.13,0,0,0,0,0,0,0,0
6882,곤약 감자조림,37.8,0.64,0,0,0,0,0,0,0,0
6883,삼색나물 & 토마토양념장,35.96,1.71,0,0,0,0,0,0,0,0
6884,무염 겉절이,11.96,0.45,0,0,0,0,0,0,0,0
6885,저염 겉절이,13.11,0.72,0,0,0,0,0,0,0,0
6886,고구마 김치,95.86,0.91,0,0,0,0,0,0,0,0
6887,배 깍두기,31.66,0.72,0,0,0,0,0,0,0,0
6888,콜라비 깍두기,40.67,2.07,0,0,0,0,0,0,0,0
6889,비타 오이 물김치,13.46,0.34,0,0,0,0,0,0,0,0
6890,무말랭이 김치,10.86,0.14,0,0,0,0,0,0,0,0
6891,김치양배추볶음,34.24,0.89,0,0,0,0,0,0,0,0
6892,매운 락교무침,36.5,0.69,0,0,0,0,0,0,0,0
6893,모둠야채 수제피클,92.45,0.2,0,0,0,0,0,0,0,0
6894,양파홍초절임,56.87,0.55,0,0,0,0,0,0,0,0
6895,유부초절임,34.32,1.45,0,0,0,0,0,0,0,0
6896,완두콩과 당근을 넣은 감자요거트샐러드,43.5,1.58,0,0,0,0,0,0,0,0
6897,마늘칩 감자샐러드,80.12,1.19,0,0,0,0,0,0,0,0
6898,단호박견과류샐러드,100.79,2.91,0,0,0,0,0,0,0,0
6899,치즈두부샐러드,104.06,6.2,0,0,0,0,0,0,0,0
6900,코울슬로샐러드,38.47,0.61,0,0,0,0,0,0,0,0
6901,연근샐러드 & 흑임자소스,28.76,0.69,0,0,0,0,0,0,0,0
6902,고구마순나물,50.18,1.59,0,0,0,0,0,0,0,0
6903,비름나물 된장무침,24.63,1.21,0,0,0,0,0,0,0,0
6904,아욱 된장무침,11.26,0.9,0,0,0,0,0,0,0,0
6905,톳나물 두부무침,42.18,3.57,0,0,0,0,0,0,0,0
6906,채소 초밥,393.26,7.59,0,0,0,0,0,0,0,0
6907,홍시에이드,42.14,0.18,0,0,0,0,0,0,0,0
6908,클래식치즈피자,685,37.38,0,0,0,0,0,0,0,0
6909,햄앤체다피자,597,28.88,0,0,0,0,0,0,0,0
6910,고르곤졸라피자,695,35.01,0,0,0,0,0,0,0,0
6911,페파로니,746,35.32,0,0,0,0,0,0,0,0
6912,페파로니매니아피자,816,38.12,0,0,0,0,0,0,0,0
6913,청양페파로니피자,751,34.6,0,0,0,0,0,0,0,0
6914,하와이안피자,672,33.08,0,0,0,0,0,0,0,0
6915,슈퍼콤비네이션피자,626,27.62,0,0,0,0,0,0,0,0
6916,베이컨포테이토피자,747,33.81,0,0,0,0,0,0,0,0
6917,부라타치즈피자,619,30.25,0,0,0,0,0,0,0,0
6918,나폴리슈림프피자,593,29.73,0,0,0,0,0,0,0,0
6919,디아볼라피자,626,30.94,0,0,0,0,0,0,0,0
6920,토마토파스타,346,13.44,0,0,0,0,0,0,0,0
6921,까브로나라파스타,565,14.71,0,0,0,0,0,0,0,0
6922,알리오올리오파스타,465,12.38,0,0,0,0,0,0,0,0
6923,새우필라프,438,9.72,0,0,0,0,0,0,0,0
6924,불고기필라프,465,11.42,0,0,0,0,0,0,0,0
6925,버팔로윙오리지날,171,14.38,0,0,0,0,0,0,0,0
6926,버팔로윙데리야끼,169,13.59,0,0,0,0,0,0,0,0
6927,순살치킨앤프라이,432,17.46,0,0,0,0,0,0,0,0
6928,이탈리안샐러드,102,2.29,0,0,0,0,0,0,0,0
6929,치킨랜치샐러드,263,11.25,0,0,0,0,0,0,0,0
6930,미니브라우니,394,5.92,0,0,0,0,0,0,0,0
6931,블루베리레몬에이드,168,0.48,0,0,0,0,0,0,0,0
6932,더블치즈(BL),381,18,0,0,0,0,0,0,0,0
6933,더블치즈(L),319,15,0,0,0,0,0,0,0,0
6934,더블치즈(M),290,14,0,0,0,0,0,0,0,0
6935,페퍼로니(BL),377,20,0,0,0,0,0,0,0,0
6936,페퍼로니(L),306,17,0,0,0,0,0,0,0,0
6937,페퍼로니(M),273,15,0,0,0,0,0,0,0,0
6938,하와이안피자(BL),367,24,0,0,0,0,0,0,0,0
6939,하와이안피자(L),314,20,0,0,0,0,0,0,0,0
6940,하와이안피자(M),285,18,0,0,0,0,0,0,0,0
6941,더블치즈베이컨(BL),411,22,0,0,0,0,0,0,0,0
