,식품명,energy,protein,calcium,phosphorus,iron,niacin,folate,vitaC,thiamin,riboflavin
0,꿩불고기,368.8,33.5,105.61,458.05,0.004,3.61,63.13,2.99,0,0.33
1,닭갈비,595.61,45.9,98.64,505.25,0.00338,1.23,108.13,5.54,0.24,0.37
2,닭꼬치,176.72,11.56,17.68,122.8,0.00764,1.71,0,0,0.23,0.18
3,더덕구이,184,3.1,46.42,88.17,0.00143,0.18,16.77,1.34,0.23,0.08
4,도미구이,397,61.1,158.8,690.91,0.00097,6.35,37.98,0.84,0.1,0.27
5,돼지갈비,240.32,19.5,47.21,156.16,0.00092,0.17,5.37,0,0.31,0.14
6,병어구이,488,54.6,80.44,627.82,0.00075,4.38,38.25,1.41,0.12,0.21
7,불고기,395.29,34.4,12.31,300.71,0.00363,2.26,10.23,0,0.08,0.24
8,붕장어소금구이,296.54,26,164.09,345.83,0.00024,0.47,12.64,0,0,0.11
9,소양념갈비구이,989.15,60.1,85.27,412.97,0.00634,0.49,27.81,0.27,0.25,0.37
10,양념왕갈비,480.81,27.1,31.21,174.75,0.00293,0.26,9.3,0,0,0.1
11,양념장어구이,433.35,30.77,215.4,381.33,0.00895,7.23,0,0.19,0.46,0.68
12,임연수구이,494,53.8,267.44,754.08,0.00193,4.82,24.87,0.69,0.15,0.54
13,짚불구이곰장어,326.21,42.7,29.52,371.67,0.00594,0,83.67,1.6,0,0.8
14,햄버그스테이크,457.7,26.96,82.51,365.08,0.00253,5.97,0,2.77,0.62,0.26
15,황태구이,437.57,47.8,280.1,425.07,0.00209,0.04,19.3,0,0.06,0.18
16,훈제오리,797.14,43.06,38.49,623.67,0.00417,8.35,0,47.71,0.6,0.6
17,게국지,415.25,44.9,1320.57,695.81,0.00968,0,166.89,0,0,0.62
18,곰치국,419.29,54.3,711.95,1028.2,0.00254,1.04,79.56,1.96,0.51,0.51
19,굴국밥,683,42.4,194.25,666.49,0.01271,2.68,150.06,0,0.32,0.61
20,김치국,89,5.4,113.75,116.81,0.00155,0,33.74,1.78,0.28,0.15
21,떡만둣국,624.92,20.06,99.72,250.25,0.02118,4.59,0,0,0.6,1.03
22,만둣국,434.05,21.43,123.61,221.43,0.02644,6.51,0,0,1.31,0.7
23,맑은감자국,221,8.3,115.56,159.83,0.00226,0.83,66.29,7.24,0.55,0.15
24,매생이국,119,10,125.77,101.15,0.01757,2,33.09,3.01,0.18,0.14
25,무된장국,104,6.1,90.18,127.35,0.00135,1.28,32.02,0,0.22,0.12
26,미소된장국,38,2.8,27.34,39.03,0.00053,0.37,5.09,0.58,0.07,0.03
27,바지락조개국,157,22,369.14,266.75,0.02135,1.32,48.61,0.55,0.04,0.17
28,뼈다귀해장국,714,74.6,670.27,671.55,0.00706,5.72,91.69,19.87,1.24,0.92
29,선지해장국,312,49.3,206.72,238.15,0.07857,0.93,72.94,10.02,0.72,0.32
30,소고기무국,123,14.2,59.21,108.32,0.00159,1.32,32,0,0.09,0.07
31,소고기미역국,151,18.1,149.32,139.44,0.00304,1.48,35.95,0,0.12,0.15
32,순대국,540.3,43.52,105.32,311.97,0.07289,7.31,0,0,0.48,0.82
33,시래기된장국,99,6.7,213.27,128.65,0.00263,1.03,30.85,0,0.3,0.1
34,올갱이국,144.26,13.7,391.17,202.74,0.01397,2.31,84.83,0,0,0.13
35,우거지해장국,154.38,11.9,198.55,187.07,0.00249,0.23,56.84,0,0.17,0.13
36,우렁된장국,245,24.6,656.62,362.38,0.00634,1.09,80.94,0.19,0.23,0.14
37,탕국,92.15,13.18,76.47,114.18,0.00167,0.86,13.6,0,0.11,0.18
38,홍합미역국,167,19.7,227.69,375.32,0.01033,0.49,66.38,1.44,0.12,0.31
39,황태해장국,181.7,24.5,164.63,251.27,0.00141,0.1,48.85,0,0.06,0.13
40,고추잡채,256.77,10.99,32.84,108.74,0.02455,2.03,0,8.88,0.16,0.19
41,난자완스,346.25,21.63,33.73,186.89,0.02278,4.01,0,0,0.19,0.47
42,도토리묵말이,462.39,6.8,164.34,115.24,0.00352,0,58.09,0,0,0.08
43,라조기,398.99,20.66,72.17,214.25,0.02169,4.38,0,0,0.08,0.45
44,물회,529.36,34.4,212.11,463.43,0.00188,10.91,51.12,3.04,0.42,0.22
45,생선물회,577.97,34.3,185.95,474.27,0.00258,2,70.86,16.04,0.16,0.2
46,소고기샤브샤브,263.75,29.1,95.99,254.18,0.00314,2.35,114.41,0,0.24,0.22
47,오징어순대,466.86,45.7,78.43,603,0.00104,0,47.89,0,0,0.05
48,초당순두부,522.69,49.1,333.22,883.4,0.00664,1.63,55.31,0,0.09,0.15
49,해파리냉채,91,6.2,44.36,74.66,0.00084,0.13,11.78,0.09,0.1,0.04
50,고들빼기,55.53,1.58,25.64,24.85,0.00191,0.53,0,0,0.04,0.06
51,열무얼갈이김치,17.68,1.07,39.42,20.6,0.00109,0.27,0,0,0.07,0.05
52,미나리나물,29.53,1.02,38.84,27.45,0.00028,0,24.2,0,0,0.03
53,취나물,74.1,1.37,74.62,21.6,0.00057,0,4.68,0.32,0,0.03
54,콩나물,25.34,1.68,18.5,27.76,0.00028,0,17.47,0,0,0.03
55,경단(깨),319.47,4.44,62.25,65.9,0.00087,0,16.01,0,0,0.01
56,경단(콩),314.32,3.51,10.41,44.16,0.00053,0.43,11.22,0,0,0.01
57,기피편,219.97,5.45,12.33,66.56,0.0005,0.39,16.44,0,0.05,0
58,녹두시루떡,246.07,7.74,25.81,110.21,0.00103,0.37,43.39,0,0.13,0.02
59,메밀전병,167.83,6.18,35.64,87.29,0.00119,0.02,14.92,1.71,0.12,0.03
60,무지개떡,228.97,3.53,9.71,40.77,0.00136,0.31,0,0.1,0.04,0.04
61,송편(깨),224.15,4.92,70.51,83.55,0.00078,0.67,16.58,0,0.01,0.04
62,송편(콩),194.33,5.24,16.99,70.16,0.0007,0.52,16.15,0,0,0
63,수수부꾸미,247.89,5.73,17.24,111.36,0.00131,0.56,22.8,0,0.12,0.03
64,수수팥떡,204.24,6.7,21.03,117.31,0.00169,0.5,27.29,0,0.06,0.02
65,시루떡,217.48,5.47,18.14,87.65,0.00631,0.6,0,0.01,0.14,0.08
66,쑥떡,248.63,3.36,16.67,41.23,0.00064,0.06,13.52,0,0.01,0
67,절편,192.89,3.64,9.62,39.11,0.00252,0.13,0,0.64,0.01,0
68,찹쌀떡,276.87,3.26,12,40.9,0.00364,0.17,0,0,0.03,0
69,간자장,824.54,22.33,116.47,234.71,0.03422,5.37,0,0,0.23,0.5
70,굴짬뽕,680.67,32.87,444.79,351.34,0.00993,15.01,0,1.95,0,0.38
71,기스면,606.93,37.82,340.44,336.68,0.00568,6.63,0,1.61,0,0.3
72,김치라면,552,13.8,291.83,211.24,0.00178,2.03,62,0,0.57,1.58
73,김치우동,500.18,15.55,114.43,149.18,0.00207,4.21,0,1.33,0.17,0.07
74,냉김치말이국수,302.53,12.9,130.19,175.44,0.00169,0.24,107.45,1.66,0.65,0.18
75,닭칼국수,663,42.2,85.36,367.52,0.00184,1.27,83.54,0.83,0.32,0.31
76,둘깨칼국수,457.88,17.6,176.6,384.42,0.00293,0.75,79.19,4.01,0.4,0.09
77,막국수,571.59,20,113.24,273.04,0.00367,0,76.83,0,0,0.19
78,삼선우동,691.66,47.94,212.09,453.33,0.0053,10.72,0,2.77,1.01,0.35
79,삼선자장면,803.9,33.64,120.73,301.58,0.00728,13.05,0,4.88,1.3,0.08
80,삼선짬뽕,662.37,39.63,400.51,357.52,0.00761,18.32,0,9.23,1.11,0.34
81,쌀국수,320.32,15.6,41.12,133.23,0.00151,1.81,42.22,0.37,0.08,0.06
82,열무김치국수,431,15,257.24,187.9,0.00235,1.61,145.7,1.09,1.06,0.26
83,열무냉면,525.49,20.84,177.78,226.48,0.03774,2.97,0,0.02,1.4,0.7
84,오일소스스파게티,646.74,19.56,111.09,290.48,0.00318,3.59,0,0.35,0.13,0.19
85,올갱이국수,566,11.2,245.1,262.24,0.00277,4.95,88.9,9.48,0.43,0.19
86,우동(일식),421.51,13.39,79.1,114.18,0.03284,3.14,0,0,0.42,0.27
87,우동(중식),648.47,29.45,188.22,329.14,0.03655,2.74,0,0,0.14,0.67
88,울면,728.86,37.46,292.43,375.37,0.00584,12.99,0,0.39,0,0.26
89,자장면,796.5,19.77,81.92,199.4,0.02426,4.62,0,0,0.85,0.42
90,짬뽕라면,689,21.3,586.78,304.28,0.00286,2.1,66.77,0,1.33,1.58
91,치즈라면,595,16.8,337.25,387.16,0.00134,0.78,87.85,0,0.66,1.72
92,크림소스스파게티,837.57,21.79,241.45,411.17,0.0015,3.69,0,0.2,0.83,0.53
93,토마토소스스파게티,642.58,24.35,214.54,373.19,0.00305,9.36,0,0.17,0.87,0.33
94,해물칼국수,628.26,22.8,128.74,209.62,0.02838,2.64,0,0,0.93,0.43
95,해물크림소스스파게티,917.57,30.39,330.74,559.73,0.0038,6.84,0,0,0.64,0.65
96,해물토마토소스스파게티,584.44,27.97,339.09,377.75,0.00449,11.22,0,0.83,0,0.2
97,골뱅이무침,108.79,7.08,38.06,72.34,0.0069,1.42,0,0,0.1,0.15
98,노각무침,84,2.6,39.82,70.75,0.00091,0.07,13.95,3.56,0.13,0.06
99,단무지무침,20,0.5,15.18,11.23,0.00022,0.06,8.11,0.26,0.02,0.01
100,달래나물무침,136,4,85.26,90.36,0.00166,0.54,33.43,4.77,0.17,0.14
101,더덕무침,216,4.3,59.69,125.59,0.00212,0.15,19.86,2.21,0.28,0.11
102,도토리묵,45.6,0.29,12.67,6.46,0.00046,0.01,0,0,0,0.02
103,밴댕이무침,600.01,29.8,408.68,495.53,0.00326,0,65.26,0,0,0.47
104,서대회무침,315.21,22.6,182.05,279.67,0.00169,0.38,40.57,0.5,0.1,0.12
105,쑥갓나물무침,96,4.5,156.07,87.91,0.00132,1.99,60.78,0.49,0.09,0.12
106,우거지나물무침,129,4.5,195.53,86.54,0.00258,0.12,29.01,0.85,0.25,0.06
107,쥐치채,55.92,2.75,40.67,47.38,0.00025,0.22,0,0,0,0.01
108,청포묵무침,149,2.9,33.12,49.15,0.00061,0,26.19,2.73,0.05,0.05
109,탕평채,97.5,3.55,19.49,46.79,0.00065,0.1,10.26,6.65,0.04,0.04
110,홍어무침,198.94,17.85,299.41,282.74,0.00182,8.62,0,4.31,0.15,0.15
111,고추장불고기 삼각김밥,165.29,3.66,29.08,47.5,0.00202,0.39,0,1.53,0.04,0.09
112,곤드레나물밥,521.83,10.3,147.39,126.03,0.00144,0,32.86,0,0,0.1
113,국밥,418.35,27.6,200.83,240.17,0.00614,2.05,53.54,0,2.4,0.19
114,농어초밥,396.74,17.43,18.67,181.85,0.00031,1.37,0,0,0.08,0.08
115,돼지국밥,911.4,66.4,127.28,406.2,0.00265,5.13,150.84,0,0.52,0.41
116,류산슬덮밥,574.99,26.96,110.35,260.18,0.00491,8.98,0,7.73,0.06,0.11
117,멍게비빔밥,547.21,16.6,144.04,228.94,0.00266,0,40.02,0,0,0.24
118,멸치주먹밥,312,9,109.96,172.64,0.00089,0.45,28.9,0,0,0.04
119,묵밥,642.16,14.8,100.25,293.99,0.00275,0,49.34,0,0.45,0.26
120,문어초밥,392.23,14.61,23.03,130.04,0.00042,0.68,0,7.8,0,0.05
121,비빔밥,691.62,24.6,137.96,304.43,0.00463,1.98,83.7,9.43,0.16,0.25
122,삼선볶음밥,686.11,26.24,90.32,317.6,0.00315,6.04,0,1.88,0.47,0.19
123,새우초밥,387.67,16.8,71.88,150.74,0.00027,0.54,0,0,0,0.02
124,새우튀김롤,606.5,14.47,162.38,204.58,0.0011,0.52,0,7.73,0.14,0.14
125,샐러드김밥,405.95,9.62,65.38,139.84,0.01229,2.85,0,0,0.06,0.42
126,생선초밥(광어),453.78,27.07,23.03,344.88,0.00416,8.95,0,0,0.02,0.39
127,생선초밥(모듬),461.97,25.42,45.35,283.31,0.00561,7.3,0,0,0.04,0.45
128,소고기국밥,330.53,21.8,91.4,233.14,0.00254,1.83,47.36,0,0.25,0.13
129,소고기김밥,400.61,15.98,69.5,190.04,0.01706,3.42,0,0.42,0.06,0.53
130,송이덮밥,581.81,18.21,73.13,226.44,0.00626,7.15,0,5.62,0.81,0.29
131,숯불갈비 삼각김밥,161.24,4,11.3,55.17,0.00208,0.32,0,0,0.07,0.09
132,약초비빔밥,511.8,11.9,245.3,192.43,0.00271,2.24,59.07,1.2,0.07,0.13
133,연어롤,510.19,18.57,133.95,229.35,0.0009,2.59,0,60.02,0.19,0.14
134,연어초밥,447.32,18.88,17.16,217.36,0.00034,3.54,0,10.44,0.12,0.08
135,오곡밥,388.82,11.95,27.57,183.92,0.00167,0.42,39.12,0,0.12,0.04
136,자장밥,741.66,15.24,54.27,187.97,0.01459,2.85,0,0,0.64,0.28
137,잡탕밥,777.44,44.12,180.57,485.81,0.05588,2.48,0,0,0.14,0.7
138,장어덮밥,716.54,30.09,179.57,349.72,0.00129,2.16,0,0,0.46,0.28
139,장어초밥,486.26,16.52,78.75,175.36,0.00052,0.56,0,5.66,0.05,0.11
140,참치덮밥,679.1,29.2,97.87,309.37,0.03293,8.71,0,0,0.35,2.19
141,참치마요네즈 삼각김밥,172.4,3.94,9.91,49.79,0.00162,0.98,0,0,0,0.06
142,충무김밥,583.93,23.42,77.71,296.59,0.00143,1.2,0,1.8,0.28,0.24
143,캘리포니아롤,487.64,12.33,145.53,155.86,0.001,0.38,0,3.88,0.1,0.12
144,한치초밥,374.18,13.71,17.47,124.43,0.00026,1.44,0,6.48,0,0.04
145,해물덮밥,771.93,42.04,141.1,397.56,0.00583,2.24,0,0,0,0.28
146,해물볶음밥,705.22,25.1,80.7,309.63,0.00254,1.58,0,0,0.02,0.24
147,회덮밥,683.02,30.21,119.26,393.91,0.01728,5.92,0,0,0.1,2.86
148,깻잎나물볶음,206,7.5,364.67,137.63,0.00286,0.1,58.38,1.63,0.4,0.24
149,돼지고기볶음,350.67,22.96,43.01,206.06,0.01597,4.84,0,0.75,0.47,0.51
150,돼지껍데기볶음,352,25.8,28.54,74.49,0.00107,0.29,22.97,0,0.09,0.09
151,두부김치,288.21,19.47,247.21,312.74,0.00325,5.36,0,2.85,0.68,0.17
152,머위나물볶음,108,3.5,107.48,81.57,0.00106,1.14,21.76,1.87,0.14,0.07
153,멸치풋고추볶음,52.38,4.65,112.29,119.55,0.00711,1.28,0,0,0.04,0.05
154,소세지볶음,471,18.8,90.72,287.55,0.00199,1.36,33.18,18.01,1.8,0.16
155,순대볶음,582,20.7,132.96,233.33,0.0107,1.38,57.26,0,0.94,0.22
156,양송이버섯볶음,136,4.5,17.57,147.9,0.00066,0.24,21,1.8,0.16,0.41
157,오삼불고기,363,25.6,42.87,327.08,0.0016,1.34,40.64,0.26,0.65,0.24
158,주꾸미볶음,211.41,18.33,49.72,153.24,0.00135,0.97,0,13.04,0.08,0.16
159,표고버섯볶음,142,4.5,20.65,109.09,0.00068,0.47,20.06,1.5,0.16,0.17
160,해물볶음,419.06,38.2,424.35,556.43,0.00825,0.08,110.23,17.16,0,0.28
161,곰보빵,277.34,6.31,24.82,94.89,0.00038,0.67,0,0,0.11,0.06
162,만주,222.49,5.13,30.67,71.13,0.0008,0.14,0,0.31,0.05,0.03
163,버터크림빵,229.96,4.91,23.87,55.1,0.00281,1.67,0,0,0.1,0.1
164,불고기피자,505,27.4,480.35,446.82,0.00147,0.54,38.43,2.56,0.61,0.27
165,참치샌드위치,555,23.3,133.14,274.11,0.0018,1.67,38.83,4.79,0.27,0.25
166,찹쌀도우넛,207.05,3.53,17.69,94.73,0.00386,0.47,0,0,0.1,0.03
167,채소고로케,300.65,7.13,32.21,105.73,0.0103,3.4,0,5.43,0.21,0.17
168,초콜릿케이크,420.24,5.31,44.07,109.61,0.00245,0.18,0,0,0.16,0.09
169,치즈케이크,329.14,7.23,71.85,130.14,0.00073,0.06,0,0,0.01,0.16
170,치즈피자,553,31.4,677.57,547.53,0.00115,0.17,43.62,0.37,0.2,0.27
171,페이스트리빵,319.59,5.99,21.95,65.76,0.00367,2.53,0,0,0.12,0.11
172,페퍼로니피자,532,29.4,537.91,481.93,0.00115,0.89,41.66,3.2,0.37,0.28
173,포테이토피자,628,28,539.84,507.7,0.0014,0.56,45.62,2.07,0.5,0.25
174,수정과,133,0.6,10.16,18.03,0.00022,0,11.7,0,0.09,0.04
175,식혜,130.14,2.3,9.13,22.57,0.00013,0.18,4.99,0.29,0,0
176,간장마늘쫑장아찌,30,1,15.49,17.5,0.00035,0.06,15.89,0.75,0.07,0.02
177,고추장마늘쫑장아찌,55,1.3,19.82,26.64,0.00056,0.07,16.76,0.92,0.08,0.04
178,매실장아찌,72.88,0.5,8.96,10.46,0.00031,0.88,0,0,0.02,0.01
179,무장아찌,23.92,0.44,8.52,7.12,0.00216,0.89,0,5.35,0.04,0.02
180,계적,488.08,57.72,23.67,461.17,0.00151,0.61,59.41,0,0.15,0.47
181,낙지꼬지,75.35,13.14,18.77,149.12,0.00096,1.62,9.16,0,0,0.07
182,돔베기적,159.49,30.08,8.38,246.95,0.00062,0.49,19.56,56.11,0,0.11
183,소고기산적,453.07,48.41,21.38,349.37,0.00492,0,19.63,0,0.17,0.23
184,소라산적,120.1,17.92,97.43,146.18,0.00207,0.31,9.69,10.26,0,0.14
185,오징어산적,101.71,17.37,16.09,238.9,0.0003,1.24,4.39,0,0.08,0.05
186,홍어적,89.15,23.59,177.76,239.41,0.00035,0.33,14.92,0,0.01,0.03
187,홍합산적,156.66,17.78,49.75,276.26,0.00787,3.33,39.6,0,0,0.17
188,가자미전,230.28,25.76,346.85,371.1,0.00077,0.31,27.91,0,0.16,0.2
189,고추전,274.69,12.91,66.18,166.47,0.00125,1.24,0,9.88,0.2,0.19
190,굴전,195,10.6,36.24,160.08,0.00321,0.51,37.19,17.67,0.07,0.3
191,깻잎전,361.1,17.74,110.19,233.99,0.00203,1.05,0,0,0.25,0.29
192,녹두빈대떡,207.94,7.94,21.13,126.17,0.00097,0.94,0,1.69,0.14,0.13
193,동그랑땡(육원전),309.2,19.62,98.4,246.3,0.00203,1.22,0,0,0.32,0.26
194,동태전,268.05,22.64,48.4,420.79,0.00123,0.3,0,0,0.03,0.24
195,두부전,254.64,20.46,253.75,302.83,0.00301,0.42,46.16,0,0,0.08
196,미나리전,226.41,5.24,32.54,69.25,0.00052,0.32,26.72,0,0,0.19
197,배추전,240.75,5.17,48.03,78.19,0.00061,0.66,31.97,0,0.13,0.12
198,버섯전,240.69,10.52,41.91,204.07,0.00135,1.85,29.29,0,0.35,0.26
199,야채전,194,5.4,28.29,86.92,0.00069,0.2,27.76,3.85,0.08,0.23
200,파전,292.8,6.83,46.97,101.9,0.00077,0.69,0,0.95,0.18,0.36
201,햄부침,244,11.3,33.46,188.07,0.001,0.74,22.8,5.46,0.19,0.12
202,호박부침개,129,3.9,28.14,75.85,0.0006,0.17,28.2,1.7,0.06,0.14
203,호박전,208.1,6.48,47.99,125.24,0.00104,0.37,33.32,0,0.09,0.11
204,화양적,272.65,13.58,210.62,206.18,0.00143,0.35,0,6.6,0.1,0.16
205,가자미조림,297.98,37.1,228.75,445.33,0.00152,1,72.41,4.18,0.33,0.27
206,고추조림,111,3.3,45.91,69.27,0.00093,0.17,19.56,6.07,0.12,0.03
207,동태조림,276,40.8,336.54,464.81,0.00145,0.98,51.86,1.05,0.32,0.3
208,돼지고기메추리알장조림,63.49,8.34,8.84,66.03,0.00056,0.93,0,0.03,0.14,0.08
209,북어조림,181.86,20.83,154.9,207.26,0.0007,1.39,0,3.41,0.11,0.12
210,소고기메추리알장조림,60.65,8.14,8.46,57.61,0.0008,0.96,0,0.02,0.06,0.07
211,조기조림,384,41.1,337.82,462.52,0.00174,0.43,51.52,0.77,0.28,0.27
212,게살죽,564.83,17.9,105.13,191.73,0.00829,1.62,0,0,0.42,0.39
213,깨죽,515.35,13.66,401.68,279.05,0.01613,2.41,0,0,0.76,0.45
214,백합죽,455.28,16.5,115,207.04,0.01302,0.87,88.98,0,0.01,0.18
215,소고기버섯죽,578.28,18.75,54.43,177.85,0.00814,4.07,0,0,0.12,0.63
216,어죽,552.06,20.4,190.44,305.38,0.00228,2.14,54.95,0,0.19,0.07
217,잣죽,874.48,19.18,32.85,272.66,0.0019,1.29,0,0,0.28,0.03
218,참치죽,659.6,24.19,78.45,250.44,0.00159,9.28,0,0,0.16,0.12
219,고등어찌개,601.62,48.9,266.23,671.03,0.00442,6.35,74.72,0,0.34,0.49
220,김치찌개,243.03,15.07,151.76,210.74,0.01518,6.59,0,0,1.09,0.78
221,꽁치찌개,355,24,219.92,350.58,0.00286,3.87,48.04,5.12,0.02,0.37
222,두부전골,315.16,25.6,411.5,435.96,0.00402,0.24,75.01,4.89,0.4,0.18
223,버섯찌개,167.56,14.7,70.75,222.48,0.00223,1.06,70.43,0.67,0.19,0.24
224,부대찌개,399.5,18.4,91.31,302.47,0.00329,0,37.1,0,0,0.21
225,새우젓두부찌개,166,16.2,226.15,248.2,0.0023,0.3,35.82,0.23,0.11,0.11
226,소곱창전골,529,41.6,148.95,423.89,0.00639,6.17,104.07,4.32,0.49,0.58
227,햄김치찌개,189,11.1,101.58,214.58,0.00154,1.16,49.33,0.73,0.19,0.18
228,호박찌개,95,5.6,82.63,112.18,0.0012,0.33,72.87,2.77,0.1,0.12
229,대구찜,376.42,51.7,423.93,674.62,0.00321,1.29,108.98,0,0.31,0.34
230,도미찜,125.51,23,59.16,272.17,0.00066,0.69,38.88,1.73,0.02,0.24
231,동태찜,394.32,50.9,369.06,624.98,0.00354,0.95,97.85,0.66,0.26,0.39
232,돼지등갈비찜,961.04,72.1,161.28,526.97,0.00383,2.45,56.11,0,1.52,0.42
233,돼지머리고기,650,42.4,26.1,217.72,0.00301,2.66,27.56,0,0.18,0.4
234,매운갈비찜,517.44,61.3,63.61,419.65,0.00522,2.39,33.95,1.4,0.44,0.65
235,문어숙회,66.91,14.86,11.92,104.18,0.00013,0.59,10.46,1.11,0,0.05
236,민어찜,136.88,21.47,52.11,176.56,0.00042,0.12,29.44,0,0.04,0.14
237,병어찜,179.69,18.86,28.37,201.47,0.0003,2.31,38.78,0,0.06,0.14
238,북어찜,235,28.1,171.31,274.49,0.00129,0.68,31.13,0,0.16,0.18
239,붕어찜,835.6,54.3,984.26,847.54,0.01047,2.47,131.98,0,0.72,0.33
240,소갈비찜,494.6,49.86,47.93,214.66,0.004,1.51,0,0,0.13,0.22
241,순대 ,542.42,19.56,104.42,201.7,0.02132,7.95,0,0,1.72,0.51
242,아구찜,310.87,48.3,214.38,377.94,0.00282,4.87,0,4.35,1.94,0.3
243,안동찜닭,1364.21,114.2,518.67,1275.1,0.00551,0,122.71,0,4.5,0.49
244,전어찜,278.22,17.28,617.72,476.8,0.00463,2.6,10.34,14.94,0.16,0.19
245,조기찜,182.12,20.06,121.22,226.76,0.00048,0.32,25.79,0.43,0,0.2
246,참꼬막,90.79,12.47,62.66,125.29,0.00961,1.6,41.3,0,0.1,0.14
247,한방오리백숙,469.53,68.79,89.86,443.14,0.00613,5.02,0,0,0.33,0.73
248,해물찜,400.08,42.6,566,585.88,0.008,0.15,120.27,0,0.06,0.35
249,홍어찜,202.67,47.12,643.02,620.44,0.0012,8.66,0,1.48,0,0.07
250,갈낙탕,261.77,35.8,48.37,234.83,0.00296,1.34,19.72,0,0,0.31
251,곰탕,183.25,19.4,15.65,136.37,0.00249,1.95,13.87,0,0,0.17
252,광어매운탕,419.79,58.42,865.61,949.72,0.00255,8.18,0,0,0.21,0.91
253,낙지탕,187.8,29.4,110.82,313.69,0.00216,0.52,44.06,0,0.33,0.22
254,대구매운탕,361.75,57.36,439.39,690.72,0.00259,8.3,0,0.83,0.76,0.41
255,대구지리탕,262.02,41.6,342.1,531.74,0.00163,0.38,88.07,0.27,0.13,0.19
256,메기매운탕,400,28.6,396.38,451.7,0.00377,3.18,80.19,3.1,0.52,0.4
257,복지리탕,232.05,41.7,242.25,362.9,0.0013,2.26,56.34,0,0.06,0.31
258,소탕,86.37,7.66,82.54,115.2,0.00098,0.48,6.93,0,0.18,0.04
259,아구탕,246.07,37.8,297.49,429.94,0.00293,0.7,75.4,0,0.11,0.36
260,어탕,85.87,12.7,79.37,209.31,0.00388,0.41,19.94,0,0.16,0.2
261,연포탕,541.64,94.9,551.19,830.72,0.01045,4.4,0,5.37,0,0.87
262,우럭매운탕,406.82,52.15,778.74,785.86,0.00257,6.57,0,0.56,0.19,0.62
263,육탕,87.63,12.66,26.28,73.65,0.00128,1.14,8.18,0,0.08,0.09
264,전복탕,196.85,26.8,163.14,292.58,0.01733,2.16,75.46,0.33,0.26,0.33
265,조기매운탕,384.38,35.1,1132.66,837.14,0.00277,0.19,106.5,0.6,0.21,0.34
266,짱뚱어탕,188.77,11.5,329.1,269.78,0.00319,0,34.42,0,0.55,0.17
267,추어탕,316.72,22.7,560.37,499.44,0.00549,2.08,101.65,0,0.45,0.38
268,해물탕,267.81,39.8,492.95,552.25,0.00662,1.87,97.17,0,0.13,0.31
269,고구마맛탕,491,3.3,66.97,152.37,0.00123,2.08,84.62,1.92,0.19,0.09
270,고구마튀김,252.96,2.72,24.9,83.21,0.00056,0.31,24.9,0,0.09,0.1
271,고추튀김,202,7.6,42.84,106.55,0.00086,0.52,22.13,3.28,0.34,0.15
272,닭튀김,903,65.2,39.8,748.08,0.00218,13.71,49.23,16.88,0.38,0.58
273,등심돈가스,623.83,32.99,35.35,345.66,0.00133,8.29,0,0.12,0.91,0.31
274,모래집튀김,468.37,28.1,35.66,306.08,0.00266,0,41.67,0.45,0.04,0.25
275,미꾸라지튀김,387.49,10.89,536.58,437.92,0.00134,0.65,0,0,0.01,0.26
276,생선까스,653.44,24.33,46.64,339.94,0.00097,2.37,0,0,0.09,0.17
277,안심돈가스,651.75,33.28,31.6,367.22,0.00161,6.51,0,0.12,1.17,0.4
278,양념치킨,552,35.5,33.57,380.94,0.00147,8.62,33.24,0.2,0.26,0.31
279,쥐포튀김,356.91,9.62,81.39,156.81,0.00065,0.13,6.96,0,0.04,0.07
280,치즈돈가스,755.37,42.02,421.04,612.71,0.0013,7.15,0,0.17,0.68,0.41
281,치킨까스,593,27.91,156.96,387.78,0.00115,7.75,0,0,0.18,0.23
282,대구포,140.84,31.97,154.63,288.6,0.00039,0.96,8.71,0,0.07,0.07
283,북어포,66.46,15.42,118.1,186.95,0.00029,0.36,3.5,0,0,0.05
284,매작과,123.86,2.25,10.04,22.99,0.0002,0,3.28,0,0.02,0
285,산자,109.71,0.69,1.72,8.84,0.00012,0.14,1.03,0.03,0,0
286,송화다식,110.83,2.49,41.6,47.43,0.00104,1.75,14.87,0,0.06,0.02
287,약과,119.73,1.26,3.74,19.96,0.00022,0.14,2.44,0,0.04,0
288,유과,127.09,0.84,17.46,18.67,0.00014,0.15,2.54,0,0,0.01
289,글램핑 바비큐(오리지널 L),410,17,0,0,0,0,0,0,0,0
290,글램핑 바비큐(나폴리M),328,15,0,0,0,0,0,0,0,0
291,글램핑 바비큐(나폴리L),312,16,0,0,0,0,0,0,0,0
292,글램핑 바비큐(씬 M),266,13,0,0,0,0,0,0,0,0
293,글램핑 바비큐(씬 L),273,13,0,0,0,0,0,0,0,0
294,글램핑 바비큐(슈퍼시드 함유 도우M),485,24,0,0,0,0,0,0,0,0
295,글램핑 바비큐(슈퍼시드 함유 도우L),392,19,0,0,0,0,0,0,0,0
296,글램핑 바비큐 더블치즈엣지(오리지널 M),330,16,0,0,0,0,0,0,0,0
297,글램핑 바비큐 더블치즈엣지(오리지널 L),489,25,0,0,0,0,0,0,0,0
298,더블크러스트 이베리코(더블 크러스트 L),387,19,0,0,0,0,0,0,0,0
299,더블크러스트 이베리코(더블 크러스트 M),345,12,0,0,0,0,0,0,0,0
